"screenName","Repeated"
"EvanKourambas",6
"ewg",6
"EXG_FEARSOME",6
"FabrevansForce",6
"fairyeprincess",6
"falconsfan9801",6
"falfans",6
"fanvfan_lugnuts",6
"Faye_Bennett22",6
"Finding4Job",6
"FionaApple15",6
"ForeverJandM",6
"FuckTheoRyy",6
"FunWithChem",6
"gamoamike",6
"gdjewel",6
"gigigirl31",6
"GreatFillies",6
"Greeenguy111",6
"greensjeremy",6
"haiIshield",6
"Havenprincess",6
"hayleygurl1",6
"Holland_Obrien",6
"homegypsy",6
"Ideetje9",6
"imgoodbackup",6
"imlotusgrl",6
"Inveni_Te_Ipsum",6
"irishkisses74",6
"IsaacLJ27",6
"ItrendEnt",6
"ItsLizyyyy",6
"jakewasamistake",6
"jamdownrocks",6
"jaylaa_chem",6
"JeanetteLeaa",6
"jeanpaulds",6
"Jerome09",6
"JesTheJester",6
"jillstringer7",6
"JimOwczarski",6
"jinalamlani",6
"joeyjoejoee",6
"JohnWallGaming",6
"Kalub85",6
"Karenina2390",6
"koolk4",6
"KrisPuz",6
"lbilotto1",6
"LeboClassof2015",6
"LeFeminista",6
"liasonandnaxie",6
"Liasonite4Life",6
"limecyn",6
"LindaTuten1",6
"LizCassadine",6
"ljw21",6
"Louangie",6
"loveacupotea",6
"lovelebron32",6
"LuisThirdWorld",6
"manni0056",6
"martyn2019",6
"MaryahHenrique",6
"maryteachesmath",6
"MaShabaShaheen",6
"MattGlady_7",6
"maurane95",6
"maurennash",6
"maybellepaez",6
"mcochran206",6
"Mega2Tweets",6
"mjoehlerich",6
"mmforever",6
"mondlerlovexo",6
"MrPhetz",6
"Ms_D_Chem",6
"mscott83",6
"nancy_jay25",6
"nancynarzal",6
"NanImburgia1",6
"NatalieZajac1",6
"NataschaGu",6
"NatischaAnn",6
"NephilimRuler",6
"nickianon",6
"NormanJValerio",6
"OlicityToronto",6
"olicityxalways",6
"olly_jones4",6
"OROSAMARIA",6
"pere65",6
"PhilDeCarolis",6
"PlaydohFPS",6
"poisonsix9",6
"PollyKay12",6
"postmodernism",6
"PSluvAnnie",6
"Psnow4",6
"QB_Hag",6
"QxNews",6
"r_____________b",6
"RichSandersen",6
"Rick_Hall",6
"rileystringer77",6
"RiyaJagota",6
"robbie_raffii",6
"rodneyvjohnson",6
"ruderalcoop",6
"ryanRoar",6
"sarahannhebert1",6
"savybella",6
"sawyersjuliet",6
"science_serwin",6
"scoma60",6
"SeeArrOh",6
"serenafan1",6
"SEsoulmates",6
"SEXWBOCA",6
"ShereeWLWT",6
"ShiNazHolic",6
"silencescreams_",6
"SiliconIsland",6
"silviacs26",6
"soccerman8ryan",6
"sondralou",6
"spar1091",6
"SpinxRetweets",6
"spoilgirl03",6
"stinebabybaby2",6
"StitchVictoria",6
"SusanDirgham",6
"SwiftPinkPLL",6
"TakeThatGMOs",6
"Tayton10",6
"TeamLiason",6
"teickbush33",6
"that_mcr_fan",6
"TheEliteSephora",6
"thefutureyousee",6
"thejohnlynch",6
"TheoryFail",6
"ToddTVG",6
"Tolma001",6
"TomaMtomaone",6
"True_Love_Rebel",6
"TurtleWoman777",6
"tyecin",6
"UESSRR",6
"uqalumni",6
"UrockButterBean",6
"VallieMitcham",6
"Vickib64Black",6
"VikkiBiotch",6
"we_glee",6
"wotgraham",6
"yaofern",6
"YvesPleco",6
"zelly309",6
"Zen_arcade_",6
"znmeb",6
"__Sarasota",5
"_callmedq",5
"_djchrisrock",5
"_Thepromiser",5
"0103lrl",5
"0Senorita",5
"234chem",5
"50shadesofCC",5
"73046f34d7f64f8",5
"ab81",5
"abbacharice",5
"ABOUTx99NINJAS",5
"absilvey03",5
"ACreativeMuggle",5
"acswebinars",5
"ActNowToday_",5
"AdG_Tezah",5
"akacharleswade",5
"akter8888",5
"alanadamu",5
"AlannisAlomar",5
"Alex_Incarnate",5
"AlexNicholas2",5
"ALI59thm",5
"ALI65thm",5
"AliceOutThere",5
"aliecat4979",5
"AlienWarlord",5
"allison_church",5
"AlyInWondarlanD",5
"amandadotlich",5
"ambercronk1",5
"AmberZured",5
"AMELLSRICKARDSS",5
"AmerChemSociety",5
"anarchic_teapot",5
"anboa4",5
"AndrewR_Physics",5
"AndyDerer",5
"aneda_jumary",5
"Angeliiiiique",5
"angew_chem",5
"AnnSatya",5
"AnonOperations2",5
"aolbuffy29",5
"aparicio77",5
"AppFlyer",5
